study_accession,sample_accession,experiment_accession,Run,Assay.Type,sample_title
PRJEB6070,SAMEA2448331,ERX441298,ERR475467,AMPLICON,FR-026
PRJEB6070,SAMEA2448332,ERX441299,ERR475468,AMPLICON,FR-027
PRJEB6070,SAMEA2448333,ERX441300,ERR475469,AMPLICON,FR-030
PRJEB6070,SAMEA2448334,ERX441301,ERR475470,AMPLICON,FR-039
PRJEB6070,SAMEA2448335,ERX441302,ERR475471,AMPLICON,FR-040
PRJEB6070,SAMEA2448336,ERX441303,ERR475472,AMPLICON,FR-051
PRJEB6070,SAMEA2448337,ERX441304,ERR475473,AMPLICON,FR-052
PRJEB6070,SAMEA2448338,ERX441305,ERR475474,AMPLICON,FR-053
PRJEB6070,SAMEA2448339,ERX441306,ERR475475,AMPLICON,FR-054
PRJEB6070,SAMEA2448340,ERX441307,ERR475476,AMPLICON,FR-060
PRJEB6070,SAMEA2448341,ERX441308,ERR475477,AMPLICON,FR-105
PRJEB6070,SAMEA2448342,ERX441309,ERR475478,AMPLICON,FR-110
PRJEB6070,SAMEA2448343,ERX441310,ERR475479,AMPLICON,FR-113
PRJEB6070,SAMEA2448344,ERX441311,ERR475480,AMPLICON,FR-115
PRJEB6070,SAMEA2448345,ERX441312,ERR475481,AMPLICON,FR-116
PRJEB6070,SAMEA2448346,ERX441313,ERR475482,AMPLICON,FR-125
PRJEB6070,SAMEA2448347,ERX441314,ERR475483,AMPLICON,FR-129
PRJEB6070,SAMEA2448348,ERX441315,ERR475484,AMPLICON,FR-132
PRJEB6070,SAMEA2448349,ERX441316,ERR475485,AMPLICON,FR-139
PRJEB6070,SAMEA2448350,ERX441317,ERR475486,AMPLICON,FR-142
PRJEB6070,SAMEA2448351,ERX441318,ERR475487,AMPLICON,FR-152
PRJEB6070,SAMEA2448352,ERX441319,ERR475488,AMPLICON,FR-156
PRJEB6070,SAMEA2448353,ERX441320,ERR475489,AMPLICON,FR-161
PRJEB6070,SAMEA2448354,ERX441321,ERR475490,AMPLICON,FR-162
PRJEB6070,SAMEA2448355,ERX441322,ERR475491,AMPLICON,FR-166
PRJEB6070,SAMEA2448356,ERX441323,ERR475492,AMPLICON,FR-169
PRJEB6070,SAMEA2448357,ERX441324,ERR475493,AMPLICON,FR-170
PRJEB6070,SAMEA2448358,ERX441325,ERR475494,AMPLICON,FR-173
PRJEB6070,SAMEA2448359,ERX441326,ERR475495,AMPLICON,FR-187
PRJEB6070,SAMEA2448360,ERX441327,ERR475496,AMPLICON,FR-191
PRJEB6070,SAMEA2448361,ERX441328,ERR475497,AMPLICON,FR-194
PRJEB6070,SAMEA2448362,ERX441329,ERR475498,AMPLICON,FR-196
PRJEB6070,SAMEA2448363,ERX441330,ERR475499,AMPLICON,FR-198
PRJEB6070,SAMEA2448364,ERX441331,ERR475500,AMPLICON,FR-200
PRJEB6070,SAMEA2448365,ERX441332,ERR475501,AMPLICON,FR-208
PRJEB6070,SAMEA2448366,ERX441333,ERR475502,AMPLICON,FR-211
PRJEB6070,SAMEA2448367,ERX441334,ERR475503,AMPLICON,FR-212
PRJEB6070,SAMEA2448368,ERX441335,ERR475504,AMPLICON,FR-213
PRJEB6070,SAMEA2448369,ERX441336,ERR475505,AMPLICON,FR-214
PRJEB6070,SAMEA2448370,ERX441337,ERR475506,AMPLICON,FR-215
PRJEB6070,SAMEA2448371,ERX441338,ERR475507,AMPLICON,FR-218
PRJEB6070,SAMEA2448372,ERX441339,ERR475508,AMPLICON,FR-221
PRJEB6070,SAMEA2448373,ERX441340,ERR475509,AMPLICON,FR-223
PRJEB6070,SAMEA2448374,ERX441341,ERR475510,AMPLICON,FR-229
PRJEB6070,SAMEA2448375,ERX441342,ERR475511,AMPLICON,FR-241
PRJEB6070,SAMEA2448376,ERX441343,ERR475512,AMPLICON,FR-276
PRJEB6070,SAMEA2448377,ERX441344,ERR475513,AMPLICON,FR-281
PRJEB6070,SAMEA2448378,ERX441345,ERR475514,AMPLICON,FR-294
PRJEB6070,SAMEA2448379,ERX441346,ERR475515,AMPLICON,FR-298
PRJEB6070,SAMEA2448380,ERX441347,ERR475516,AMPLICON,FR-302
PRJEB6070,SAMEA2448381,ERX441348,ERR475517,AMPLICON,FR-305
PRJEB6070,SAMEA2448382,ERX441349,ERR475518,AMPLICON,FR-312
PRJEB6070,SAMEA2448383,ERX441350,ERR475519,AMPLICON,FR-316
PRJEB6070,SAMEA2448384,ERX441351,ERR475520,AMPLICON,FR-328
PRJEB6070,SAMEA2448385,ERX441352,ERR475521,AMPLICON,FR-344
PRJEB6070,SAMEA2448386,ERX441353,ERR475522,AMPLICON,FR-349
PRJEB6070,SAMEA2448387,ERX441354,ERR475523,AMPLICON,FR-390
PRJEB6070,SAMEA2448388,ERX441355,ERR475524,AMPLICON,FR-393
PRJEB6070,SAMEA2448389,ERX441356,ERR475525,AMPLICON,FR-399
PRJEB6070,SAMEA2448390,ERX441357,ERR475526,AMPLICON,FR-400
PRJEB6070,SAMEA2448391,ERX441358,ERR475527,AMPLICON,FR-414
PRJEB6070,SAMEA2448392,ERX441359,ERR475528,AMPLICON,FR-419
PRJEB6070,SAMEA2448393,ERX441360,ERR475529,AMPLICON,FR-430
PRJEB6070,SAMEA2448394,ERX441361,ERR475530,AMPLICON,FR-449
PRJEB6070,SAMEA2448395,ERX441362,ERR475531,AMPLICON,FR-450
PRJEB6070,SAMEA2448396,ERX441363,ERR475532,AMPLICON,FR-451
PRJEB6070,SAMEA2448397,ERX441364,ERR475533,AMPLICON,FR-459
PRJEB6070,SAMEA2448398,ERX441365,ERR475534,AMPLICON,FR-460
PRJEB6070,SAMEA2448399,ERX441366,ERR475535,AMPLICON,FR-473
PRJEB6070,SAMEA2448400,ERX441367,ERR475536,AMPLICON,FR-474
PRJEB6070,SAMEA2448401,ERX441368,ERR475537,AMPLICON,FR-496
PRJEB6070,SAMEA2448402,ERX441369,ERR475538,AMPLICON,FR-500
PRJEB6070,SAMEA2448403,ERX441370,ERR475539,AMPLICON,FR-503
PRJEB6070,SAMEA2448404,ERX441371,ERR475540,AMPLICON,FR-505
PRJEB6070,SAMEA2448405,ERX441372,ERR475541,AMPLICON,FR-506
PRJEB6070,SAMEA2448406,ERX441373,ERR475542,AMPLICON,FR-507
PRJEB6070,SAMEA2448407,ERX441374,ERR475543,AMPLICON,FR-510
PRJEB6070,SAMEA2448408,ERX441375,ERR475544,AMPLICON,FR-539
PRJEB6070,SAMEA2448409,ERX441376,ERR475545,AMPLICON,FR-542
PRJEB6070,SAMEA2448410,ERX441377,ERR475546,AMPLICON,FR-548
PRJEB6070,SAMEA2448411,ERX441378,ERR475547,AMPLICON,FR-551
PRJEB6070,SAMEA2448412,ERX441379,ERR475548,AMPLICON,FR-552
PRJEB6070,SAMEA2448413,ERX441380,ERR475549,AMPLICON,FR-558
PRJEB6070,SAMEA2448414,ERX441381,ERR475550,AMPLICON,FR-568
PRJEB6070,SAMEA2448415,ERX441382,ERR475551,AMPLICON,FR-596
PRJEB6070,SAMEA2448416,ERX441383,ERR475552,AMPLICON,FR-606
PRJEB6070,SAMEA2448417,ERX441384,ERR475553,AMPLICON,FR-617
PRJEB6070,SAMEA2448418,ERX441385,ERR475554,AMPLICON,FR-626
PRJEB6070,SAMEA2448419,ERX441386,ERR475555,AMPLICON,FR-628
PRJEB6070,SAMEA2448420,ERX441387,ERR475556,AMPLICON,FR-643
PRJEB6070,SAMEA2448421,ERX441388,ERR475557,AMPLICON,FR-654
PRJEB6070,SAMEA2448422,ERX441389,ERR475558,AMPLICON,FR-664
PRJEB6070,SAMEA2448423,ERX441390,ERR475559,AMPLICON,FR-666
PRJEB6070,SAMEA2448424,ERX441391,ERR475560,AMPLICON,FR-667
PRJEB6070,SAMEA2448425,ERX441392,ERR475561,AMPLICON,FR-672
PRJEB6070,SAMEA2448426,ERX441393,ERR475562,AMPLICON,FR-682
PRJEB6070,SAMEA2448427,ERX441394,ERR475563,AMPLICON,FR-684
PRJEB6070,SAMEA2448428,ERX441395,ERR475564,AMPLICON,FR-696
PRJEB6070,SAMEA2448429,ERX441396,ERR475565,AMPLICON,FR-716
PRJEB6070,SAMEA2448430,ERX441397,ERR475566,AMPLICON,FR-719
PRJEB6070,SAMEA2448431,ERX441398,ERR475567,AMPLICON,FR-721
PRJEB6070,SAMEA2448432,ERX441399,ERR475568,AMPLICON,FR-722
PRJEB6070,SAMEA2448433,ERX441400,ERR475569,AMPLICON,FR-723
PRJEB6070,SAMEA2448434,ERX441401,ERR475570,AMPLICON,FR-726
PRJEB6070,SAMEA2448435,ERX441402,ERR475571,AMPLICON,FR-728
PRJEB6070,SAMEA2448436,ERX441403,ERR475572,AMPLICON,FR-730
PRJEB6070,SAMEA2448437,ERX441404,ERR475573,AMPLICON,FR-734
PRJEB6070,SAMEA2448438,ERX441405,ERR475574,AMPLICON,FR-751
PRJEB6070,SAMEA2448439,ERX441406,ERR475575,AMPLICON,FR-759
PRJEB6070,SAMEA2448440,ERX441407,ERR475576,AMPLICON,FR-767
PRJEB6070,SAMEA2448441,ERX441408,ERR475577,AMPLICON,FR-768
PRJEB6070,SAMEA2448442,ERX441409,ERR475578,AMPLICON,FR-770
PRJEB6070,SAMEA2448443,ERX441410,ERR475579,AMPLICON,FR-772
PRJEB6070,SAMEA2448444,ERX441411,ERR475580,AMPLICON,FR-780
PRJEB6070,SAMEA2448445,ERX441412,ERR475581,AMPLICON,FR-783
PRJEB6070,SAMEA2448446,ERX441413,ERR475582,AMPLICON,FR-788
PRJEB6070,SAMEA2448447,ERX441414,ERR475583,AMPLICON,FR-790
PRJEB6070,SAMEA2448448,ERX441415,ERR475584,AMPLICON,FR-792
PRJEB6070,SAMEA2448449,ERX441416,ERR475585,AMPLICON,FR-812
PRJEB6070,SAMEA2448450,ERX441417,ERR475586,AMPLICON,FR-817
PRJEB6070,SAMEA2448451,ERX441418,ERR475587,AMPLICON,FR-820
PRJEB6070,SAMEA2448452,ERX441419,ERR475588,AMPLICON,FR-824
PRJEB6070,SAMEA2448453,ERX441420,ERR475589,AMPLICON,FR-825
PRJEB6070,SAMEA2448454,ERX441421,ERR475590,AMPLICON,FR-826
PRJEB6070,SAMEA2448455,ERX441422,ERR475591,AMPLICON,FR-827
PRJEB6070,SAMEA2448456,ERX441423,ERR475592,AMPLICON,FR-828
PRJEB6070,SAMEA2448457,ERX441424,ERR475593,AMPLICON,FR-829
PRJEB6070,SAMEA2448458,ERX441425,ERR475594,AMPLICON,FR-830
PRJEB6070,SAMEA2448459,ERX441426,ERR475595,AMPLICON,FR-835
PRJEB6070,SAMEA2467039,ERX444790,ERR478958,WGS,Human stool sample
PRJEB6070,SAMEA2467039,ERX444791,ERR478959,WGS,Human stool sample
PRJEB6070,SAMEA2467039,ERX444792,ERR478960,WGS,Human stool sample
PRJEB6070,SAMEA2467039,ERX444793,ERR478961,WGS,Human stool sample
PRJEB6070,SAMEA2466896,ERX444794,ERR478962,WGS,Human stool sample
PRJEB6070,SAMEA2466896,ERX444795,ERR478963,WGS,Human stool sample
PRJEB6070,SAMEA2466965,ERX444796,ERR478964,WGS,Human stool sample
PRJEB6070,SAMEA2466965,ERX444797,ERR478965,WGS,Human stool sample
PRJEB6070,SAMEA2466965,ERX444798,ERR478966,WGS,Human stool sample
PRJEB6070,SAMEA2466965,ERX444799,ERR478967,WGS,Human stool sample
PRJEB6070,SAMEA2467005,ERX444800,ERR478968,WGS,Human stool sample
PRJEB6070,SAMEA2467005,ERX444801,ERR478969,WGS,Human stool sample
PRJEB6070,SAMEA2467013,ERX444802,ERR478970,WGS,Human stool sample
PRJEB6070,SAMEA2467013,ERX444803,ERR478971,WGS,Human stool sample
PRJEB6070,SAMEA2467013,ERX444804,ERR478972,WGS,Human stool sample
PRJEB6070,SAMEA2467013,ERX444805,ERR478973,WGS,Human stool sample
PRJEB6070,SAMEA2466911,ERX444806,ERR478974,WGS,Human stool sample
PRJEB6070,SAMEA2466911,ERX444807,ERR478975,WGS,Human stool sample
PRJEB6070,SAMEA2467031,ERX444808,ERR478976,WGS,Human stool sample
PRJEB6070,SAMEA2467031,ERX444809,ERR478977,WGS,Human stool sample
PRJEB6070,SAMEA2467031,ERX444810,ERR478978,WGS,Human stool sample
PRJEB6070,SAMEA2467031,ERX444811,ERR478979,WGS,Human stool sample
PRJEB6070,SAMEA2467021,ERX444812,ERR478980,WGS,Human stool sample
PRJEB6070,SAMEA2467021,ERX444813,ERR478981,WGS,Human stool sample
PRJEB6070,SAMEA2467021,ERX444814,ERR478982,WGS,Human stool sample
PRJEB6070,SAMEA2467021,ERX444815,ERR478983,WGS,Human stool sample
PRJEB6070,SAMEA2466915,ERX444816,ERR478984,WGS,Human stool sample
PRJEB6070,SAMEA2466915,ERX444817,ERR478985,WGS,Human stool sample
PRJEB6070,SAMEA2467028,ERX444818,ERR478986,WGS,Human stool sample
PRJEB6070,SAMEA2467028,ERX444819,ERR478987,WGS,Human stool sample
PRJEB6070,SAMEA2467028,ERX444820,ERR478988,WGS,Human stool sample
PRJEB6070,SAMEA2467028,ERX444821,ERR478989,WGS,Human stool sample
PRJEB6070,SAMEA2467036,ERX444822,ERR478990,WGS,Human stool sample
PRJEB6070,SAMEA2467036,ERX444823,ERR478991,WGS,Human stool sample
PRJEB6070,SAMEA2467036,ERX444824,ERR478992,WGS,Human stool sample
PRJEB6070,SAMEA2467036,ERX444825,ERR478993,WGS,Human stool sample
PRJEB6070,SAMEA2467014,ERX444826,ERR478994,WGS,Human stool sample
PRJEB6070,SAMEA2467014,ERX444827,ERR478995,WGS,Human stool sample
PRJEB6070,SAMEA2467014,ERX444828,ERR478996,WGS,Human stool sample
PRJEB6070,SAMEA2467014,ERX444829,ERR478997,WGS,Human stool sample
PRJEB6070,SAMEA2466919,ERX444830,ERR478998,WGS,Human stool sample
PRJEB6070,SAMEA2466919,ERX444831,ERR478999,WGS,Human stool sample
PRJEB6070,SAMEA2467035,ERX444832,ERR479000,WGS,Human stool sample
PRJEB6070,SAMEA2467035,ERX444833,ERR479001,WGS,Human stool sample
PRJEB6070,SAMEA2467035,ERX444834,ERR479002,WGS,Human stool sample
PRJEB6070,SAMEA2467035,ERX444835,ERR479003,WGS,Human stool sample
PRJEB6070,SAMEA2466912,ERX444836,ERR479004,WGS,Human stool sample
PRJEB6070,SAMEA2466912,ERX444837,ERR479005,WGS,Human stool sample
PRJEB6070,SAMEA2466967,ERX444838,ERR479006,WGS,Human stool sample
PRJEB6070,SAMEA2466967,ERX444839,ERR479007,WGS,Human stool sample
PRJEB6070,SAMEA2466967,ERX444840,ERR479008,WGS,Human stool sample
PRJEB6070,SAMEA2466967,ERX444841,ERR479009,WGS,Human stool sample
PRJEB6070,SAMEA2466993,ERX444842,ERR479010,WGS,Human stool sample
PRJEB6070,SAMEA2466993,ERX444843,ERR479011,WGS,Human stool sample
PRJEB6070,SAMEA2466962,ERX444844,ERR479012,WGS,Human stool sample
PRJEB6070,SAMEA2466962,ERX444845,ERR479013,WGS,Human stool sample
PRJEB6070,SAMEA2467025,ERX444846,ERR479014,WGS,Human stool sample
PRJEB6070,SAMEA2467025,ERX444847,ERR479015,WGS,Human stool sample
