Run,geographic_location_(country_and/or_sea region)
ERR674075,Germany
ERR674123,Germany
ERR674076,Germany
ERR674124,Germany
ERR674077,Germany
ERR674125,Germany
ERR674078,Germany
ERR674126,Germany
ERR674079,Germany
ERR674127,Germany
ERR674080,Germany
ERR674128,Germany
ERR479476,
ERR479477,
ERR479478,
ERR479479,
ERR480972,
ERR480973,
ERR480974,
ERR480975,
ERR674081,Germany
ERR674129,Germany
ERR674082,Germany
ERR674130,Germany
ERR674083,Germany
ERR674131,Germany
ERR674084,Germany
ERR674132,Germany
ERR674085,Germany
ERR674133,Germany
ERR674086,Germany
ERR674134,Germany
ERR674087,Germany
ERR674135,Germany
ERR479492,
ERR479493,
ERR479494,
ERR479495,
ERR480988,
ERR480989,
ERR480990,
ERR480991,
ERR674088,Germany
ERR674136,Germany
ERR674089,Germany
ERR674137,Germany
ERR479558,
ERR479559,
ERR479560,
ERR479561,
ERR481054,
ERR481055,
ERR481056,
ERR481057,
ERR674090,Germany
ERR674138,Germany
ERR479504,
ERR479505,
ERR479506,
ERR479507,
ERR481000,
ERR481001,
ERR481002,
ERR481003,
ERR674091,Germany
ERR674139,Germany
ERR674092,Germany
ERR674140,Germany
ERR479562,
ERR479563,
ERR479564,
ERR479565,
ERR481058,
ERR481059,
ERR481060,
ERR481061,
ERR674093,Germany
ERR674141,Germany
ERR674094,Germany
ERR674142,Germany
ERR674095,Germany
ERR674143,Germany
ERR479456,
ERR479457,
ERR479458,
ERR479459,
ERR480952,
ERR480953,
ERR480954,
ERR480955,
ERR674096,Germany
ERR674144,Germany
ERR479484,
ERR479485,
ERR479486,
ERR479487,
ERR480980,
ERR480981,
ERR480982,
ERR480983,
ERR674097,Germany
ERR674145,Germany
ERR479538,
ERR479539,
ERR479540,
ERR479541,
ERR481034,
ERR481035,
ERR481036,
ERR481037,
ERR674098,Germany
ERR674146,Germany
ERR674099,Germany
ERR674147,Germany
ERR674100,Germany
ERR674148,Germany
ERR674101,Germany
ERR674149,Germany
ERR674102,Germany
ERR674150,Germany
ERR479554,
ERR479555,
ERR479556,
ERR479557,
ERR481050,
ERR481051,
ERR481052,
ERR481053,
ERR674103,Germany
ERR674151,Germany
ERR479500,
ERR479501,
ERR479502,
ERR479503,
ERR480996,
ERR480997,
ERR480998,
ERR480999,
ERR674104,Germany
ERR674152,Germany
ERR479423,
ERR479424,
ERR479425,
ERR479426,
ERR479427,
ERR480919,
ERR480920,
ERR480921,
ERR480922,
ERR480923,
ERR674105,Germany
ERR674153,Germany
ERR674106,Germany
